Month,Total (BOE/d)
0,143661.54
1,144650.16084180633
2,145023.49785440805
3,145020.53978629262
4,144775.127852441
5,144368.98579173232
6,143855.00427094413
7,143268.85537395804
8,142635.33451875858
9,141972.06570145994
10,141291.78294686126
11,140603.79515325572
12,139914.95926201332
13,139230.3453126061
14,138553.70184254766
15,137887.78818801633
16,137234.61586786743
17,136595.62654248264
18,135971.82490517152
19,135363.87902929765
20,134772.19687702015
21,134196.9851244102
22,133638.29472003528
23,133096.05639013214
24,132570.1084563269
25,132060.21872737657
26,131566.10178955182
27,131087.43270088854
28,130623.85785851974
29,130175.00363218437
30,129740.48322440656
31,129319.90211716456
32,128912.8623878485
33,128518.96611796157
34,128137.81807199524
35,127769.02778799285
36,127412.21119313306
37,127066.99183542984
38,126733.00180501936
39,126409.88240446673
40,126097.2846162992
41,125794.86940695868
42,125502.30789910274
43,125219.2814383108
44,124945.48157548858
45,124680.60998238927
46,124424.37831451038
47,124176.50803304143
48,123936.73019542223
49,123704.78522233311
50,123480.4226475109
51,123263.40085560735
52,123053.48681233742
53,122850.4557903634
54,122654.0910936998
55,122464.18378287808
56,122280.53240265678
57,122102.94271369124
58,121931.22742926655
59,121765.20595794418
60,121604.7041527614
61,121449.55406745056
62,121299.5937200028
63,121154.66686378432
64,121014.6227663186
65,120879.31599577072
66,120748.6062151079
67,120622.35798385972
68,120500.44056736284
69,120382.72775334308
70,120269.0976756645
71,120159.43264505622
72,120053.61898661542
73,119951.54688387466
74,119853.11022921716
75,119758.20648041906
76,119666.7365230977
77,119578.60453884574
78,119493.71787883248
79,119411.98694265806
80,119333.32506224992
81,119257.6483905963
82,119184.87579511674
83,119114.928755476
84,119047.7312656534
85,118983.2097400864
86,118920.49476278132
87,118858.58067090296
88,118797.46205121638
89,118737.13585080775
90,118677.5988916429
91,118618.84788154982
92,118560.87942432232
93,118503.69002901929
94,118447.2761185283
95,118391.6340374548
96,118336.7600593936
97,118282.65039363437
98,118229.30119134708
99,118176.70855129095
100,118124.86852508532
101,118073.77712207804
102,118023.43031384412
103,117973.8240383442
104,117924.95420376964
105,117876.8166921
106,117829.40736239438
107,117782.72205383876
108,117736.75658856735
109,117691.50677427632
110,117646.96840664532
111,117603.13727158196
112,117560.00914730274
113,117517.53797160726
114,117475.3167269984
115,117433.25485285684
116,117391.36602484711
117,117349.6633746676
118,117308.1594105322
119,117266.86049146176
120,111564.22945963193
121,107152.23634927196
122,103525.8492570495
123,100433.38897461416
124,97729.56376330755
125,95322.29092431533
126,93149.2848794142
127,91166.33267556004
128,89340.85682387104
129,87648.12730925794
130,86068.90801569025
131,84587.92881919236
132,83192.85711471821
133,81873.58412309765
134,80621.7165982111
135,79430.20660086951
136,78293.07649713838
137,77205.21112845217
138,76162.19831673126
139,75160.20477109955
140,74195.87833797834
141,73266.27013631954
142,72368.77189876334
143,71501.06507859466
144,70661.07915943806
145,69846.95723465897
146,69057.02736438398
147,68289.77742373111
148,67543.83543245445
149,66817.95319325387
150,66110.99171289333
151,65421.908717561186
152,64749.7479105252
153,64093.62968740187
154,63452.743077299725
155,62826.33872005905
156,62213.72272329414
157,61614.251269831555
158,61027.32586785826
159,60452.38915373719
160,59888.92117185971
161,59336.43606773388
162,58794.479140265794
163,58262.62420727739
164,57740.47124503491
165,57227.6442681871
166,56723.78942123288
167,56228.57325661453
168,55741.68117789406
169,55262.81602932268
170,54791.69681554155
171,54328.05753722454
172,53871.64613025154
173,53422.22349752557
174,52979.56262386312
175,52543.44776552312
176,52113.67370692441
177,51690.04507795704
178,51272.37572603673
179,50860.48813770246
